Column1;country;country_code;indicator;indicator_user;year;value
150;Belarus;BLR;gdp_growth;GDP Growth (%);1986;
151;Belarus;BLR;gdp_growth;GDP Growth (%);1987;
152;Belarus;BLR;gdp_growth;GDP Growth (%);1988;
153;Belarus;BLR;gdp_growth;GDP Growth (%);1989;
154;Belarus;BLR;gdp_growth;GDP Growth (%);1990;
155;Belarus;BLR;gdp_growth;GDP Growth (%);1991;"-1.2							"
156;Belarus;BLR;gdp_growth;GDP Growth (%);1992;"-9.6							"
157;Belarus;BLR;gdp_growth;GDP Growth (%);1993;"-7.6							"
158;Belarus;BLR;gdp_growth;GDP Growth (%);1994;"-11.7							"
159;Belarus;BLR;gdp_growth;GDP Growth (%);1995;"-10.4							"
160;Belarus;BLR;gdp_growth;GDP Growth (%);1996;"2.8							"
161;Belarus;BLR;gdp_growth;GDP Growth (%);1997;"11.4							"
162;Belarus;BLR;gdp_growth;GDP Growth (%);1998;"8.4							"
163;Belarus;BLR;gdp_growth;GDP Growth (%);1999;"3.4							"
164;Belarus;BLR;gdp_growth;GDP Growth (%);2000;"5.8							"
165;Belarus;BLR;gdp_growth;GDP Growth (%);2001;"4.73							"
166;Belarus;BLR;gdp_growth;GDP Growth (%);2002;"5.05							"
167;Belarus;BLR;gdp_growth;GDP Growth (%);2003;"7.04							"
168;Belarus;BLR;gdp_growth;GDP Growth (%);2004;"11.45							"
169;Belarus;BLR;gdp_growth;GDP Growth (%);2005;"9.4							"
170;Belarus;BLR;gdp_growth;GDP Growth (%);2006;"10.0							"
171;Belarus;BLR;gdp_growth;GDP Growth (%);2007;"8.6							"
172;Belarus;BLR;gdp_growth;GDP Growth (%);2008;"10.2							"
173;Belarus;BLR;gdp_growth;GDP Growth (%);2009;"0.2							"
174;Belarus;BLR;gdp_growth;GDP Growth (%);2010;"7.8							"
175;Belarus;BLR;gdp_growth;GDP Growth (%);2011;"5.38							"
176;Belarus;BLR;gdp_growth;GDP Growth (%);2012;"1.69							"
177;Belarus;BLR;gdp_growth;GDP Growth (%);2013;"1.0							"
178;Belarus;BLR;gdp_growth;GDP Growth (%);2014;"1.73							"
179;Belarus;BLR;gdp_growth;GDP Growth (%);2015;"-3.83							"
180;Belarus;BLR;gdp_growth;GDP Growth (%);2016;"-2.53							"
181;Belarus;BLR;gdp_growth;GDP Growth (%);2017;"2.53							"
182;Belarus;BLR;gdp_growth;GDP Growth (%);2018;"3.15							"
183;Belarus;BLR;gdp_growth;GDP Growth (%);2019;"1.4							"
184;Belarus;BLR;gdp_growth;GDP Growth (%);2020;"-0.7							"
185;Belarus;BLR;gdp_growth;GDP Growth (%);2021;"2.3							"
186;Belgium;BEL;gdp_growth;GDP Growth (%);1960;
187;Belgium;BEL;gdp_growth;GDP Growth (%);1961;"4.98							"
188;Belgium;BEL;gdp_growth;GDP Growth (%);1962;"5.21							"
189;Belgium;BEL;gdp_growth;GDP Growth (%);1963;"4.35							"
190;Belgium;BEL;gdp_growth;GDP Growth (%);1964;"6.96							"
191;Belgium;BEL;gdp_growth;GDP Growth (%);1965;"3.56							"
192;Belgium;BEL;gdp_growth;GDP Growth (%);1966;"3.16							"
193;Belgium;BEL;gdp_growth;GDP Growth (%);1967;"3.87							"
194;Belgium;BEL;gdp_growth;GDP Growth (%);1968;"4.19							"
195;Belgium;BEL;gdp_growth;GDP Growth (%);1969;"6.63							"
196;Belgium;BEL;gdp_growth;GDP Growth (%);1970;"5.58							"
197;Belgium;BEL;gdp_growth;GDP Growth (%);1971;"3.99							"
198;Belgium;BEL;gdp_growth;GDP Growth (%);1972;"5.3							"
199;Belgium;BEL;gdp_growth;GDP Growth (%);1973;"6.38							"
200;Belgium;BEL;gdp_growth;GDP Growth (%);1974;"4.57							"
201;Belgium;BEL;gdp_growth;GDP Growth (%);1975;"-1.97							"
202;Belgium;BEL;gdp_growth;GDP Growth (%);1976;"5.65							"
203;Belgium;BEL;gdp_growth;GDP Growth (%);1977;"0.63							"
204;Belgium;BEL;gdp_growth;GDP Growth (%);1978;"2.84							"
205;Belgium;BEL;gdp_growth;GDP Growth (%);1979;"2.34							"
206;Belgium;BEL;gdp_growth;GDP Growth (%);1980;"4.44							"
207;Belgium;BEL;gdp_growth;GDP Growth (%);1981;"-0.28							"
208;Belgium;BEL;gdp_growth;GDP Growth (%);1982;"0.59							"
209;Belgium;BEL;gdp_growth;GDP Growth (%);1983;"0.31							"
210;Belgium;BEL;gdp_growth;GDP Growth (%);1984;"2.47							"
211;Belgium;BEL;gdp_growth;GDP Growth (%);1985;"1.65							"
212;Belgium;BEL;gdp_growth;GDP Growth (%);1986;"1.82							"
213;Belgium;BEL;gdp_growth;GDP Growth (%);1987;"2.31							"
214;Belgium;BEL;gdp_growth;GDP Growth (%);1988;"4.72							"
215;Belgium;BEL;gdp_growth;GDP Growth (%);1989;"3.47							"
216;Belgium;BEL;gdp_growth;GDP Growth (%);1990;"3.14							"
217;Belgium;BEL;gdp_growth;GDP Growth (%);1991;"1.83							"
218;Belgium;BEL;gdp_growth;GDP Growth (%);1992;"1.53							"
219;Belgium;BEL;gdp_growth;GDP Growth (%);1993;"-0.96							"
220;Belgium;BEL;gdp_growth;GDP Growth (%);1994;"3.23							"
221;Belgium;BEL;gdp_growth;GDP Growth (%);1995;"2.38							"
222;Belgium;BEL;gdp_growth;GDP Growth (%);1996;"1.32							"
223;Belgium;BEL;gdp_growth;GDP Growth (%);1997;"3.79							"
224;Belgium;BEL;gdp_growth;GDP Growth (%);1998;"1.96							"
225;Belgium;BEL;gdp_growth;GDP Growth (%);1999;"3.54							"
226;Belgium;BEL;gdp_growth;GDP Growth (%);2000;"3.72							"
227;Belgium;BEL;gdp_growth;GDP Growth (%);2001;"1.1							"
228;Belgium;BEL;gdp_growth;GDP Growth (%);2002;"1.71							"
229;Belgium;BEL;gdp_growth;GDP Growth (%);2003;"1.04							"
230;Belgium;BEL;gdp_growth;GDP Growth (%);2004;"3.57							"
231;Belgium;BEL;gdp_growth;GDP Growth (%);2005;"2.32							"
232;Belgium;BEL;gdp_growth;GDP Growth (%);2006;"2.55							"
233;Belgium;BEL;gdp_growth;GDP Growth (%);2007;"3.68							"
234;Belgium;BEL;gdp_growth;GDP Growth (%);2008;"0.45							"
235;Belgium;BEL;gdp_growth;GDP Growth (%);2009;"-2.02							"
236;Belgium;BEL;gdp_growth;GDP Growth (%);2010;"2.86							"
237;Belgium;BEL;gdp_growth;GDP Growth (%);2011;"1.69							"
238;Belgium;BEL;gdp_growth;GDP Growth (%);2012;"0.74							"
239;Belgium;BEL;gdp_growth;GDP Growth (%);2013;"0.46							"
240;Belgium;BEL;gdp_growth;GDP Growth (%);2014;"1.58							"
241;Belgium;BEL;gdp_growth;GDP Growth (%);2015;"2.04							"
242;Belgium;BEL;gdp_growth;GDP Growth (%);2016;"1.27							"
243;Belgium;BEL;gdp_growth;GDP Growth (%);2017;"1.62							"
244;Belgium;BEL;gdp_growth;GDP Growth (%);2018;"1.79							"
245;Belgium;BEL;gdp_growth;GDP Growth (%);2019;"2.24							"
246;Belgium;BEL;gdp_growth;GDP Growth (%);2020;"-5.36							"
247;Belgium;BEL;gdp_growth;GDP Growth (%);2021;"6.13							"
248;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1960;
249;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1961;
250;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1962;
251;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1963;
252;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1964;
253;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1965;
254;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1966;
255;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1967;
256;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1968;
257;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1969;
258;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1970;"5.6							"
259;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1971;"8.1							"
260;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1972;"4.2							"
261;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1973;"5.0							"
262;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1974;"8.5							"
263;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1975;"3.6							"
264;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1976;"3.9							"
265;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1977;"8.0							"
266;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1978;"6.9							"
267;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1979;"7.0							"
268;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1980;"2.2							"
269;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1981;"1.5							"
270;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1982;"0.7							"
271;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1983;"-1.2							"
272;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1984;"2.0							"
273;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1985;"0.5							"
274;Bosnia and Herzegovina;BIH;gdp_growth;GDP Growth (%);1986;"3.6							"
